005745,크라운해태홀딩스우,100,100
005750,대림B&Co,40,50
005800,신영와코루,40,50
005810,풍산홀딩스,40,50
005820,원림,100,100
005830,DB손해보험,20,45
005850,에스엘,100,100
005870,휴니드,40,45
005880,대한해운,40,45
005930,삼성전자,20,45
005935,삼성전자우,20,45
005940,NH투자증권,20,45
005945,NH투자증권우,30,45
005950,이수화학,40,45
005960,동부건설,40,45
005965,동부건설우,100,100
006040,동원산업,30,45
006060,화승인더,30,45
006090,사조오양,40,45
006110,삼아알미늄,40,50
006120,SK디스커버리,30,45
006125,SK디스커버리우,40,60
006200,한국전자홀딩스,100,100
006220,제주은행,40,50
006260,LS,30,45
006280,녹십자,20,45
006340,대원전선,40,50
006345,대원전선우,100,100
006360,GS건설,30,45
006370,대구백화점,100,100
006380,카프로,40,50
006390,한일현대시멘트,40,45
006400,삼성SDI,20,45
006405,삼성SDI우,30,45
006490,인스코비,100,100
006570,대림통상,100,100
006650,대한유화,30,45
006660,삼성공조,40,50
006740,영풍제지,40,45
006800,미래에셋대우,20,45
006805,미래에셋대우우,40,50
00680K,미래에셋대우2우B,30,45
006840,AK홀딩스,40,50
006880,신송홀딩스,100,100
006890,태경케미컬,40,45
006980,우성사료,40,60
007070,GS리테일,20,45
007110,일신석재,40,50
007120,미래아이앤지,100,100
007160,사조산업,30,45
007210,벽산,40,45
007280,한국특수형강,100,100
007310,오뚜기,20,45
007340,디티알오토모티브,40,50
007460,에이프로젠 KIC,40,50
007540,샘표,40,45
007570,일양약품,30,45
007575,일양약품우,100,100
007590,동방아그로,40,50
007610,선도전기,40,50
007630,폴루스바이오팜,100,100
007660,이수페타시스,40,50
007690,국도화학,40,45
007700,F&F,20,45
007810,코리아써키트,40,45
007815,코리아써우,100,100
00781K,코리아써키트2우B,100,100
007860,서연,40,50
007980,태평양물산,100,100
008040,사조동아원,40,45
008060,대덕,30,45
00806K,대덕1우,100,100
008110,대동전자,100,100
008250,이건산업,40,60
008260,NI스틸,40,50
008350,남선알미늄,30,100
008355,남선알미우,100,100
008420,문배철강,40,50
008490,서흥,30,45
008500,일정실업,100,100
008560,메리츠증권,20,45
008600,윌비스,40,50
008700,아남전자,40,45
008730,율촌화학,30,45
008770,호텔신라,20,45
008775,호텔신라우,40,50
008870,금비,40,60
008930,한미사이언스,30,45
008970,동양철관,100,100
009070,KCTC,40,45
009140,경인전자,100,100
009150,삼성전기,20,45
009155,삼성전기우,30,45
009160,SIMPAC,40,45
009180,한솔로지스틱스,40,50
009190,대양금속,100,100
009200,무림페이퍼,40,45
009240,한샘,20,45
009270,신원,40,45
009275,신원우,100,100
009290,광동제약,30,45
009310,참엔지니어링,100,100
009320,대우부품,40,50
009410,태영건설,30,45
009415,태영건설우,100,100
009420,한올바이오파마,20,45
009440,KC그린홀딩스,40,45
009450,경동나비엔,30,45
009460,한창제지,40,45
009470,삼화전기,40,45
009540,한국조선해양,20,45
009580,무림P&P,30,45
009680,모토닉,40,45
009770,삼정펄프,40,100
009810,엔케이물산,100,100
009830,한화솔루션,20,45
009835,한화솔루션우,100,100
009970,영원무역홀딩스,40,45
010040,한국내화,40,45
010050,우리종금,40,45
010060,OCI,30,45
010100,한국프랜지,40,50
010120,LS ELECTRIC,20,45
010130,고려아연,20,45
010140,삼성중공업,40,45
010145,삼성중공우,100,100
010400,우진아이엔에스,40,50
010420,한솔PNS,100,100
010580,지코,100,100
010600,웰바이오텍,100,100
010620,현대미포조선,20,45
010640,진양폴리,100,100
010660,화천기계,40,50
010690,화신,40,50
010770,평화홀딩스,100,100
010780,아이에스동서,40,45
010820,퍼스텍,100,100
010950,S-Oil,20,45
010955,S-Oil우,30,45
010960,삼호개발,40,45
011000,진원생명과학,100,100
011070,LG이노텍,20,45
011090,에넥스,40,50
011150,CJ씨푸드,30,45
011155,CJ씨푸드1우,100,100
011170,롯데케미칼,20,45
011200,HMM,100,100
011210,현대위아,30,45
011230,삼화전자,100,100
011280,태림포장,30,45
011300,성안,100,100
011330,유니켐,30,45
011390,부산산업,40,45
011420,갤럭시아에스엠,100,100
011500,한농화성,40,45
011690,유양디앤유,100,100
011700,한신기계,40,50
011760,현대상사,30,45
011780,금호석유,20,45
011785,금호석유우,40,45
011790,SKC,20,45
011810,STX,100,100
011930,신성이엔지,40,50
012030,DB,40,45
012160,영흥,40,50
012170,키위미디어그룹,100,100
012200,계양전기,40,45
012205,계양전기우,100,100
012280,영화금속,40,50
012320,경동인베스트,40,50
012330,현대모비스,20,45
012450,한화에어로스페이스,20,45
012510,더존비즈온,30,45
012600,청호컴넷,100,100
012610,경인양행,40,45
